abster-se； abstain/棄權； v. r.；Nas assembleias, muitos cidadãos decidiram abster-se da votação.; de
acalentar； 懷抱（希望/夢想）； v. t.；Ela continua a acalentar o sonho de ser escritora.; —
acatar； 遵從/服從； v. t.；Todos os funcionários devem acatar as decisões do tribunal.; —
aceção； 詞義/含義； s. f.；O termo tem várias aceções consoante o contexto.; —
acérrimo； 激烈的/堅定的； adj.；Ele é um acérrimo defensor dos direitos humanos.; —
aclamação； 歡呼/擁戴； s. f.；O presidente foi eleito por aclamação unânime.; —
acolhimento； 接待/接納； s. m.；O acolhimento aos refugiados foi exemplar.; —
acometer； 襲擊/著手進行； v. t.；A doença acometeu-o subitamente durante a viagem.; —
acréscimo； 增加/增長； s. m.；Houve um acréscimo significativo nas receitas fiscais.; a
acuidade； 敏銳/尖銳； s. f.；A acuidade visual do falcão é impressionante.; —
acutilante； 鋒利的/尖刻的； adj.；O crítico fez uma observação acutilante sobre a obra.; —
adiamento； 推遲/延期； s. m.；O adiamento da reunião foi inevitável devido ao mau tempo.; —
adiantar； 提前/預付； v. t.；Não adianta discutirmos isso agora.; —
admoestação； 告誡/訓誡； s. f.；O professor fez uma admoestação severa aos alunos.; —
adoçar； 使變甜/緩和； v. t.；Ela tentou adoçar a notícia com palavras amáveis.; —
adstringente； 收斂的/嚴厲的； adj.；O seu discurso adstringente não agradou aos ouvintes.; —
aferir； 校準/衡量； v. t.；É preciso aferir os instrumentos antes da experiência.; —
afligir； 使痛苦/折磨； v. t.；A pobreza continua a afligir muitas regiões do país.; com
aglomerado； 聚集的/密集的； adj.；O aglomerado populacional cresceu desordenadamente.; —
agoniante； 令人痛苦的/煎熬的； adj.；A espera pelos resultados foi agoniante.; —
agravo； 侮辱/加重因素； s. m.；O advogado apresentou um agravo da decisão judicial.; —
agressão； 侵略/攻擊； s. f.；A agressão verbal é tão lesiva como a física.; a
ajuizado； 明智的/審慎的； adj.；A sua decisão foi muito ajuizada dadas as circunstâncias.; —
alarde； 炫耀/張揚； s. m.；Ele fez grande alarde da sua promoção.; —
alastrar； 蔓延/擴散； v. t.；O incêndio alastrou rapidamente pela floresta.; por
alcunha； 綽號/外號； s. f.；A sua alcunha na escola era «Gigante».; —
aliança； 聯盟/訂婚戒指； s. f.；Os dois países assinaram uma aliança estratégica.; —
aliciar； 引誘/吸引； v. t.；Tentaram aliciar o funcionário com promessas de dinheiro.; com
alienação； 異化/轉讓； s. f.；A alienação parental é punida por lei.; —
alijar； 丟棄/擺脫； v. t.；A empresa teve de alijar os ativos menos rentáveis.; —
aludir； 暗示/提及； v. i.；O orador aludiu a problemas económicos sem os especificar.; a
alusão； 暗示/提及； s. f.；Fez uma alusão direta ao escândalo financeiro.; a
amanuense； 抄寫員/文書； s. m.；O amanuense passava os documentos a limpo.; —
ambicioso； 有抱負的/野心勃勃的； adj.；O projeto é demasiado ambicioso para os recursos disponíveis.; —
ambivalente； 矛盾的/雙重價值的； adj.；Os sentimentos dela em relação ao casamento são ambivalentes.; —
ameaça； 威脅/恐嚇； s. f.；A crise climática é uma ameaça real à humanidade.; a
