acreditar;相信；v. t.;Ele acredita que o tempo vai melhorar amanhã.;acreditar em
aconselhar;建議；v. t.;O médico aconselhou o paciente a descansar.;aconselhar a
aconselhável;可取的；adj.;É aconselhável levar um guarda-chuva hoje.;
actualmente;目前；adv.;Actualmente, ela trabalha numa empresa internacional.;
acusar;指控；v. t.;A polícia acusou o suspeito de roubo.;acusar de
adequado;適當的；adj.;Este vestido não é adequado para a ocasião.;
admitir;承認；v. t.;Ele admitiu que cometeu um erro.;admitir que
adquirir;獲得；v. t.;Ela adquiriu novos conhecimentos no curso.;
afinal;畢竟；adv.;Afinal, conseguimos resolver o problema.;
agendar;安排日程；v. t.;Precisamos de agendar uma reunião para a próxima semana.;
agradável;令人愉快的；adj.;Foi uma tarde muito agradável no parque.;
alcançar;達到；v. t.;Ele alcançou todos os objectivos do projeto.;alcançar o objectivo
além disso;除此之外；loc. adv.;Além disso, temos que considerar o orçamento.;
alugar;租用；v. t.;Vamos alugar um carro para a viagem.;alugar a
alvo;目標；s. m.;O alvo principal é aumentar as vendas.;
ambiente;環境；s. m.;O ambiente de trabalho é muito bom.;
ambos;兩者；pron.;Ambos os candidatos têm experiência suficiente.;
aumentar;增加；v. t. e i.;O preço dos alimentos aumentou muito.;aumentar de
análise;分析；s. f.;Vamos fazer uma análise detalhada dos dados.;
anexo;附件；s. m.;Enviei o documento em anexo.;
anfitrião;主人；s. m.;O anfitrião recebeu os convidados com simpatia.;
anterior;先前的；adj.;No capítulo anterior, vimos este conceito.;
antipático;不友善的；adj.;O empregado da loja foi muito antipático.;
anual;每年的；adj.;O relatório anual será publicado em Março.;
anular;取消；v. t.;A empresa anulou o contrato.;anular o contrato
aparentemente;表面上；adv.;Aparentemente, ele não sabia da situação.;
aplicar;應用；v. t. e r.;É importante aplicar os conhecimentos na prática.;aplicar-se a
apoiar;支持；v. t.;A família apoiou a sua decisão.;apoiar em
aposta;賭注；s. f.;Fiz uma aposta com o meu amigo.;
apresentação;介紹；簡報；s. f.;A apresentação do projecto correu muito bem.;
aproveitar;利用；v. t.;Vamos aproveitar o bom tempo para passear.;aproveitar para
apto;適合的；adj.;Ele está apto para o cargo.;apto para
argumento;論點；s. m.;O argumento dele foi convincente.;
arma;武器；s. f.;É proibido usar armas em público.;
arranjar;修理；安排；v. t.;Preciso de arranjar o computador.;
arrepender-se;後悔；v. r.;Ela arrependeu-se de não ter estudado mais.;arrepender-se de
arriscar;冒險；v. t. e r.;Não quero arriscar perder o emprego.;arriscar-se a
artigo;文章；商品；s. m.;Este artigo discute as mudanças climáticas.;
assembleia;會議；大會；s. f.;A assembleia geral vai realizar-se amanhã.;
assinar;簽署；訂閱；v. t.;Ele assinou o contrato ontem.;assinar o contrato
assistente;助理；s. m. e f.;A assistente enviou os documentos.;
associação;協會；s. f.;Ele faz parte de uma associação de voluntários.;
